"Fecha","Totalmente Vacunado (%)","Al menos 1 Dosis de Vacuna (%)","min","Meta (75%)"
"12/14/2020",0,0.00356391888520617,0,75
"12/15/2020",0,0.00712783777041234,0,75
"12/16/2020",0,0.0890979721301543,0,75
"12/17/2020",0,0.463309455076802,0,75
"12/18/2020",0,0.876724045760718,0,75
"12/19/2020",0,0.890979721301543,0,75
"12/20/2020",0,0.901671477957162,0,75
"12/21/2020",0,0.933746747924017,0,75
"12/22/2020",0,0.951566342350048,0,75
"12/23/2020",0,1.43625931073809,0,75
"12/24/2020",0,1.53248512063865,0,75
"12/26/2020",0.00356391888520617,2.46266794967747,0,75
"12/27/2020",0.00356391888520617,3.26454969884885,0,75
"12/28/2020",0.00356391888520617,3.38928685983107,0,75
"12/29/2020",0.00712783777041234,3.42848996756834,0,75
"12/30/2020",0.00712783777041234,3.62450550625468,0,75
"12/31/2020",0.0106917566556185,4.99661427705905,0,75
"01/01/2021",0.0106917566556185,5.19975765351581,0,75
"01/02/2021",0.0106917566556185,5.68088670301864,0,75
"01/03/2021",0.0106917566556185,5.91610534944225,0,75
"01/04/2021",0.0142556755408247,5.95530845717951,0,75
"01/05/2021",0.0178195944260309,5.98381980826116,0,75
"01/06/2021",0.0997897287857728,6.21191061691436,0,75
"01/07/2021",0.449053779535978,7.53412452332585,0,75
"01/08/2021",0.901671477957162,8.21126911151502,0,75
"01/09/2021",0.919491072383192,8.45005167682383,0,75
"01/10/2021",0.930182829038811,8.6638868099362,0,75
"01/11/2021",0.951566342350048,8.87772194304858,0,75
"01/12/2021",0.969385936776079,9.0095869418012,0,75
"01/13/2021",0.976513774546491,9.40518193805909,0,75
"01/14/2021",0.983641612316904,10.6454257101108,0,75
"01/15/2021",0.990769450087316,11.0374567874835,0,75
"01/16/2021",0.997897287857728,11.1621939484657,0,75
"01/17/2021",0.997897287857728,11.2762393527923,0,75
"01/18/2021",1.00502512562814,11.3510816493817,0,75
"01/19/2021",1.02640863893938,11.4045404326598,0,75
"01/20/2021",1.4433871485085,11.4936384047899,0,75
"01/21/2021",1.58237998503154,11.5435332691828,0,75
"01/22/2021",1.72850065932499,11.7039096190171,0,75
"01/23/2021",2.47335970633308,11.9034890765886,0,75
"01/24/2021",3.30375280658612,12.0424819131117,0,75
"01/25/2021",3.42848996756834,12.1565273174383,0,75
"01/26/2021",3.46056523753519,12.1886025874051,0,75
"01/27/2021",3.66370861399195,12.3489789372394,0,75
"01/28/2021",4.98235860151823,12.4345129904843,0,75
"01/29/2021",5.22470508571225,12.9227698777576,0,75
"01/30/2021",5.69870629744467,12.9833564988061,0,75
"01/31/2021",5.96600021383513,13.0047400121173,0,75
"02/01/2021",5.97312805160555,13.0760183898214,0,75
"02/02/2021",5.99451156491678,13.1294771730995,0,75
"02/03/2021",7.29534195801704,13.2114473074593,0,75
"02/04/2021",7.51986884778502,13.2363947396557,0,75
"02/05/2021",9.25193342599522,13.3646958195231,0,75
"02/06/2021",9.83285220428383,13.39677108949,0,75
"02/07/2021",10.043123418511,13.4038989272604,0,75
"02/08/2021",10.3068534160163,13.4359741972273,0,75
"02/09/2021",10.4814854413914,13.5143804127018,0,75
"02/10/2021",10.6454257101108,13.7210877080438,0,75
"02/11/2021",10.7380876011262,13.8707723012224,0,75
"02/12/2021",10.8770804376492,14.4374354039702,0,75
"02/13/2021",11.1087351651876,15.7204462026444,0,75
"02/14/2021",11.1693217862361,15.8273637692006,0,75
"02/15/2021",11.1978331373178,16.0126875512313,0,75
"02/16/2021",11.2477280017107,16.2158309276881,0,75
"02/17/2021",11.3582094871521,16.4118464663744,0,75
"02/18/2021",11.4045404326598,16.5936063295199,0,75
"02/19/2021",11.5043301614455,17.2315478099718,0,75
"02/20/2021",11.6326312413129,17.3990519975765,0,75
"02/21/2021",11.7217292134431,17.5487365907552,0,75
"02/22/2021",11.7751879967212,17.5808118607221,0,75
"02/23/2021",11.8072632666881,17.5950675362629,0,75
"02/24/2021",11.9925870487188,17.6877294272782,0,75
"02/25/2021",12.0282262375708,18.8460030649702,0,75
"02/26/2021",12.5093552870737,19.1132969813607,0,75
"02/27/2021",12.5913254214334,21.1304750703874,0,75
"02/28/2021",12.6340924480559,21.2160091236323,0,75
"03/01/2021",12.6911151502192,21.2872875013365,0,75
"03/02/2021",12.7695213656937,21.4334081756299,0,75
"03/03/2021",12.8479275811683,21.6793185787091,0,75
"03/04/2021",12.9263337966428,21.8682062796251,0,75
"03/05/2021",15.7703410670373,26.1413450229873,0,75
"03/06/2021",16.0554545778538,26.4620977226558,0,75
"03/07/2021",16.1409886310988,26.586834883638,0,75
"03/08/2021",16.2015752521473,26.7008802879646,0,75
"03/09/2021",16.283545386507,26.8897679888806,0,75
"03/10/2021",16.3619516019815,27.0430165009444,0,75
"03/11/2021",16.5365836273566,31.2234933532913,0,75
"03/12/2021",16.9785095691222,31.7402615916462,0,75
"03/13/2021",18.0013542891764,32.3318721265904,0,75
"03/14/2021",18.0690687479953,32.4958123953099,0,75
"03/15/2021",18.2330090167148,32.5884742863252,0,75
"03/16/2021",18.4112049609751,32.7809259061264,0,75
"03/17/2021",18.6464236073987,33.3190776577925,0,75
"03/18/2021",19.87953954168,33.622010763035,0,75
"03/19/2021",20.5994511564917,37.4318400513204,0,75
"03/20/2021",22.3422074913575,39.0462953063188,0,75
"03/21/2021",22.4990199223066,39.171032467301,0,75
"03/22/2021",22.5168395167326,39.4775294914288,0,75
"03/23/2021",24.0635803129121,41.1989023129834,0,75
"03/24/2021",24.1776257172387,41.4875797426851,0,75
"03/25/2021",24.234648419402,41.7726932535016,0,75
"03/26/2021",25.2218539506041,45.0586264656616,0,75
"03/27/2021",25.4606365159129,45.3259203820521,0,75
"03/28/2021",25.5426066502726,45.4756049752308,0,75
"03/29/2021",25.5782458391247,45.6894401083431,0,75
"03/30/2021",25.7813892155815,46.2169001033537,0,75
"03/31/2021",26.4122028582629,49.3709683167611,0,75
"04/01/2021",30.268363092056,50.5720089810756,0,75
"04/02/2021",31.4337645675184,55.6363377169536,0,75
"04/03/2021",31.9113296981361,56.0497523076375,0,75
"04/04/2021",31.9576606436438,56.1139028475712,0,75
"04/05/2021",32.0895256423964,56.3776328450764,0,75
"04/06/2021",32.3176164510496,56.9336041911686,0,75
"04/07/2021",33.119498200221,57.7604333725364,0,75
"04/08/2021",33.4366869810043,61.9480380626537,0,75
"04/09/2021",34.8693823728572,62.9744467015931,0,75
"04/10/2021",35.1544958836737,63.2453045368687,0,75
"04/11/2021",35.3362557468192,63.405680886703,0,75
"04/12/2021",35.8458961474037,63.8689903417798,0,75
"04/13/2021",36.006272497238,64.114900744859,0,75
"04/14/2021",37.7276453187925,65.9396272140846,0,75
"04/15/2021",37.9307886952493,66.1677180227378,0,75
"04/16/2021",41.4626323104886,66.5419295056845,0,75
"04/17/2021",41.6729035247158,66.8092234220749,0,75
"04/18/2021",41.815460280124,67.1976905805624,0,75
"04/19/2021",41.9651448733027,67.2903524715777,0,75
"04/20/2021",42.1540325742186,67.3580669303967,0,75
"04/21/2021",44.9695284935315,68.1742043551089,0,75
"04/22/2021",47.5141665775687,68.6232581346449,0,75
"04/23/2021",51.3988381624434,69.2326882640151,0,75
"04/24/2021",51.6661320788339,69.646102854699,0,75
"04/25/2021",51.858583698635,70.0630813642682,0,75
"04/26/2021",52.1151858583699,70.4266010905592,0,75
"04/27/2021",53.0239851740974,70.9861363555365,0,75
"04/28/2021",53.9256566520546,71.7096118892334,0,75
"04/29/2021",57.5858013471613,71.9697779678535,0,75
"04/30/2021",57.9671406678784,72.1907409387362,0,75
"05/01/2021",58.2166149898428,72.3190420186037,0,75
"05/02/2021",58.2843294486618,72.3439894508001,0,75
"05/03/2021",58.4482697173812,72.4152678285042,0,75
"05/04/2021",58.6977440393457,72.7894793114509,0,75
"05/05/2021",60.5973128051606,73.1209237677751,0,75
"05/06/2021",60.7719448305357,73.2278413343312,0,75
"05/07/2021",61.0214191525001,73.5414661962294,0,75
"05/08/2021",61.2887130688906,73.7196621404897,0,75
"05/09/2021",61.3635553654799,73.8194518692755,0,75
"05/10/2021",61.4562172564952,73.8479632203571,0,75
"05/11/2021",61.6130296874443,74.0261591646174,0,75
"05/12/2021",61.7056915784597,74.1116932178624,0,75
"05/13/2021",62.5966712997612,74.9100110481485,0,75
"05/14/2021",62.7748672440215,75.0418760469012,0,75
"05/15/2021",63.0100858904451,75.1202822623757,0,75
"05/16/2021",63.4698314266367,75.3875761787662,0,75
