"Fecha","hispano/latinx","otro","blanco","desconocido"
2021-01-21,148.511654936398,38.7421708529735,138.826112223155,500.419706850907
2021-01-20,164.654226125137,41.9706850907213,145.28314069865,513.333763801898
2021-01-19,145.28314069865,38.7421708529735,148.511654936398,510.105249564151
2021-01-18,151.740169174146,35.5136566152257,154.968683411894,523.019306515142
2021-01-17,138.826112223155,35.5136566152257,154.968683411894,474.591592948925
2021-01-16,135.597597985407,32.2851423774779,148.511654936398,493.962678375412
2021-01-15,154.968683411894,32.2851423774779,158.197197649642,493.962678375412
2021-01-14,158.197197649642,35.5136566152257,171.111254600633,503.648221088655
2021-01-13,167.882740362885,35.5136566152257,154.968683411894,474.591592948925
2021-01-12,174.339768838381,38.7421708529735,167.882740362885,455.220507522438
2021-01-11,158.197197649642,45.199199328469,164.654226125137,448.763479046943
2021-01-10,158.197197649642,48.4277135662168,151.740169174146,451.99199328469
2021-01-09,171.111254600633,45.199199328469,145.28314069865,429.392393620456
2021-01-08,187.253825789372,38.7421708529735,151.740169174146,432.620907858204
2021-01-07,206.624911215858,29.0566281397301,145.28314069865,448.763479046943
2021-01-06,190.48234002712,22.5995996642345,145.28314069865,445.534964809195
2021-01-05,200.167882740363,22.5995996642345,151.740169174146,413.249822431717
2021-01-04,196.939368502615,22.5995996642345,148.511654936398,390.650222767482
2021-01-03,206.624911215858,29.0566281397301,154.968683411894,397.107251242978
2021-01-02,200.167882740363,29.0566281397301,151.740169174146,361.593594627752
2021-01-01,184.025311551624,32.2851423774779,142.054626460903,377.736165816491
2020-12-31,177.568283076128,29.0566281397301,132.369083747659,364.8221088655
2020-12-30,193.710854264867,29.0566281397301,138.826112223155,361.593594627752
2020-12-29,190.48234002712,32.2851423774779,122.683541034416,358.365080390005
2020-12-28,193.710854264867,25.8281139019823,119.455026796668,319.622909537031
2020-12-27,200.167882740363,22.5995996642345,116.22651255892,306.70885258604
2020-12-26,187.253825789372,22.5995996642345,109.769484083425,293.794795635049
2020-12-25,174.339768838381,19.3710854264867,87.1698844191903,245.367082068832
2020-12-24,167.882740362885,22.5995996642345,87.1698844191903,258.281139019823
2020-12-23,177.568283076128,22.5995996642345,83.9413701814425,229.224510880093
