"Date","Fully Vaccinated (%)","At least 1 dose (%)","min","Goal (75%)"
"12/14/2020",0,0.00372619890449752,0,75
"12/15/2020",0,0.00745239780899504,0,75
"12/16/2020",0,0.093154972612438,0,75
"12/17/2020",0,0.484405857584678,0,75
"12/18/2020",0,0.91664493050639,0,75
"12/19/2020",0,0.93154972612438,0,75
"12/20/2020",0,0.942728322837873,0,75
"12/21/2020",0,0.976264112978351,0,75
"12/22/2020",0,0.994895107500838,0,75
"12/23/2020",0,1.5016581585125,0,75
"12/24/2020",0,1.60226552893393,0,75
"12/26/2020",0.00745239780899504,2.56735104519879,0,75
"12/27/2020",0.00745239780899504,3.40574579871074,0,75
"12/28/2020",0.00745239780899504,3.53616276036815,0,75
"12/29/2020",0.0111785967134926,3.57715094831762,0,75
"12/30/2020",0.0111785967134926,3.78209188806498,0,75
"12/31/2020",0.0149047956179901,5.21667846629653,0,75
"01/01/2021",0.0149047956179901,5.42534560494839,0,75
"01/02/2021",0.0149047956179901,5.92838245705556,0,75
"01/03/2021",0.0149047956179901,6.17431158475239,0,75
"01/04/2021",0.0186309945224876,6.21529977270187,0,75
"01/05/2021",0.0223571934269851,6.24510936393785,0,75
"01/06/2021",0.108059768230428,6.48358609382569,0,75
"01/07/2021",0.473227260871185,7.86973208629877,0,75
"01/08/2021",0.946454521742371,8.5739836792488,0,75
"01/09/2021",0.965085516264858,8.82363900585013,0,75
"01/10/2021",0.976264112978351,9.04721094011998,0,75
"01/11/2021",0.998621306405336,9.26705667548534,0,75
"01/12/2021",1.01725230092782,9.40119983604725,0,75
"01/13/2021",1.02470469873682,9.81480791444647,0,75
"01/14/2021",1.03215709654581,11.1115251332116,0,75
"01/15/2021",1.03960949435481,11.5214070127063,0,75
"01/16/2021",1.0470618921638,11.6518239743638,0,75
"01/17/2021",1.0470618921638,11.7710623393077,0,75
"01/18/2021",1.0545142899728,11.8493125163021,0,75
"01/19/2021",1.07687148339978,11.9014793009651,0,75
"01/20/2021",1.51283675522599,11.9946342735775,0,75
"01/21/2021",1.6581585125014,12.0468010582405,0,75
"01/22/2021",1.8109326675858,12.2144800089429,0,75
"01/23/2021",2.58225584081678,12.4231471475947,0,75
"01/24/2021",3.45046018556471,12.5647427059656,0,75
"01/25/2021",3.58087714722212,12.6839810709096,0,75
"01/26/2021",3.6144129373626,12.71751686105,0,75
"01/27/2021",3.82680627491896,12.8851958117524,0,75
"01/28/2021",5.20549986958304,12.9746245854604,0,75
"01/29/2021",5.45888139508887,13.4851138353765,0,75
"01/30/2021",5.95446584938704,13.548459216753,0,75
"01/31/2021",6.23393076722435,13.57081641018,0,75
"02/01/2021",6.23765696612885,13.6490665871744,0,75
"02/02/2021",6.26001415955584,13.7049595707419,0,75
"02/03/2021",7.61635056079294,13.7869359466408,0,75
"02/04/2021",7.85110109177628,13.8130193389723,0,75
"02/05/2021",9.65830756045758,13.9471624995342,0,75
"02/06/2021",10.2656779818907,13.9806982896747,0,75
"02/07/2021",10.485523717256,13.9881506874837,0,75
"02/08/2021",10.7575362372843,14.0216864776242,0,75
"02/09/2021",10.9326675857957,14.0999366546186,0,75
"02/10/2021",11.1040727354026,14.319782389984,0,75
"02/11/2021",11.2009539069196,14.4762827439729,0,75
"02/12/2021",11.346275664195,15.068748369788,0,75
"02/13/2021",11.5884785929873,16.4101799754071,0,75
"02/14/2021",11.6518239743638,16.5182397436375,0,75
"02/15/2021",11.6816335655997,16.7120020866714,0,75
"02/16/2021",11.7338003502627,16.9243954242277,0,75
"02/17/2021",11.8455863173976,17.1218839661661,0,75
"02/18/2021",11.8940269031561,17.3119201102955,0,75
"02/19/2021",11.998360472482,17.9789097142005,0,75
"02/20/2021",12.1325036330439,18.1503148638074,0,75
"02/21/2021",12.2256586056564,18.3068152177963,0,75
"02/22/2021",12.2815515892238,18.3403510079368,0,75
"02/23/2021",12.3150873793643,18.3552558035548,0,75
"02/24/2021",12.5088497223982,18.4484107761672,0,75
"02/25/2021",12.5461117114432,19.6519730223199,0,75
"02/26/2021",13.0491485635503,19.9314379401572,0,75
"02/27/2021",13.1311249394493,22.0404665201028,0,75
"02/28/2021",13.1758393263032,22.1261690949063,0,75
"03/01/2021",13.2391847076797,22.2006930729962,0,75
"03/02/2021",13.3248872824831,22.3534672280806,0,75
"03/03/2021",13.3994112605731,22.6068487535865,0,75
"03/04/2021",13.481387636472,22.8006110966203,0,75
"03/05/2021",16.4362633677386,27.2496925885904,0,75
"03/06/2021",16.7343592800984,27.5813242910907,0,75
"03/07/2021",16.8200618549018,27.7080150538436,0,75
"03/08/2021",16.8834072362783,27.8272534187875,0,75
"03/09/2021",16.9653836121772,28.0135633640124,0,75
"03/10/2021",17.0436337891717,28.1737899169058,0,75
"03/11/2021",17.2224913365875,32.5595260274993,0,75
"03/12/2021",17.6845400007452,33.0998248686515,0,75
"03/13/2021",18.753959086336,33.7183738867981,0,75
"03/14/2021",18.821030666617,33.882326638596,0,75
"03/15/2021",18.9924358162239,33.9754816112084,0,75
"03/16/2021",19.1675671647353,34.1655177553378,0,75
"03/17/2021",19.3948652979096,34.7095427953944,0,75
"03/18/2021",20.6729515221523,35.0225435033722,0,75
"03/19/2021",21.4181913030518,39.0170287289936,0,75
"03/20/2021",23.2328501695421,40.7012706338264,0,75
"03/21/2021",23.3930767224354,40.8316875954838,0,75
"03/22/2021",23.4117077169579,41.1521407012706,0,75
"03/23/2021",25.0288780415099,42.9444423743339,0,75
"03/24/2021",25.1481164064538,43.2462644855982,0,75
