"Date","Hispanic/Latinx","Other","White"
2020-08-13,3.22851423774779,0,67.7987989927036
2020-08-14,3.22851423774779,0,51.6562278039646
2020-08-15,3.22851423774779,0,48.4277135662168
2020-08-16,3.22851423774779,0,48.4277135662168
2020-08-17,3.22851423774779,0,48.4277135662168
2020-08-18,0,0,41.9706850907213
2020-08-19,0,0,38.7421708529735
2020-08-20,0,0,45.199199328469
2020-08-21,0,0,35.5136566152257
2020-08-22,0,0,32.2851423774779
2020-08-23,0,0,25.8281139019823
2020-08-24,0,0,16.1425711887389
2020-08-25,0,0,16.1425711887389
2020-08-26,0,0,16.1425711887389
2020-08-27,0,0,16.1425711887389
2020-08-28,9.68554271324337,3.22851423774779,19.3710854264867
2020-08-29,9.68554271324337,3.22851423774779,19.3710854264867
2020-08-30,9.68554271324337,3.22851423774779,19.3710854264867
2020-08-31,19.3710854264867,3.22851423774779,41.9706850907213
2020-09-01,22.5995996642345,3.22851423774779,45.199199328469
2020-09-02,61.341770517208,6.45702847549558,74.2558274681991
2020-09-03,67.7987989927036,6.45702847549558,93.6269128946859
2020-09-04,71.0273132304514,6.45702847549558,116.22651255892
2020-09-05,71.0273132304514,6.45702847549558,129.140569509912
2020-09-06,71.0273132304514,6.45702847549558,129.140569509912
2020-09-07,71.0273132304514,6.45702847549558,129.140569509912
2020-09-08,74.2558274681991,6.45702847549558,125.912055272164
2020-09-09,112.997998321173,12.9140569509912,138.826112223155
2020-09-10,116.22651255892,19.3710854264867,148.511654936398
2020-09-11,109.769484083425,19.3710854264867,145.28314069865
2020-09-12,112.997998321173,19.3710854264867,154.968683411894
2020-09-13,116.22651255892,22.5995996642345,161.425711887389
2020-09-14,109.769484083425,22.5995996642345,142.054626460903
2020-09-15,106.540969845677,22.5995996642345,138.826112223155
2020-09-16,67.7987989927036,22.5995996642345,109.769484083425
2020-09-17,61.341770517208,22.5995996642345,93.6269128946859
2020-09-18,58.1132562794602,25.8281139019823,77.4843417059469
2020-09-19,58.1132562794602,29.0566281397301,77.4843417059469
2020-09-20,58.1132562794602,32.2851423774779,100.083941370181
2020-09-21,58.1132562794602,32.2851423774779,109.769484083425
2020-09-22,54.8847420417124,35.5136566152257,109.769484083425
2020-09-23,16.1425711887389,29.0566281397301,119.455026796668
2020-09-24,12.9140569509912,22.5995996642345,125.912055272164
2020-09-25,9.68554271324337,19.3710854264867,125.912055272164
2020-09-26,6.45702847549558,19.3710854264867,116.22651255892
2020-09-27,3.22851423774779,16.1425711887389,109.769484083425
2020-09-28,0,16.1425711887389,106.540969845677
2020-09-29,0,16.1425711887389,106.540969845677
2020-09-30,0,12.9140569509912,103.312455607929
2020-10-01,0,12.9140569509912,93.6269128946859
2020-10-02,0,9.68554271324337,87.1698844191903
2020-10-03,0,6.45702847549558,74.2558274681991
2020-10-04,0,3.22851423774779,51.6562278039646
2020-10-05,0,3.22851423774779,41.9706850907213
2020-10-06,0,0,38.7421708529735
2020-10-07,0,0,16.1425711887389
