"Fecha","Porcentaje de pruebas que son positivas","Promedio de 7 dias"
2021-04-14,2.06185567010309,6.99919675543131
2021-04-13,6.38297872340426,8.4189316597023
2021-04-12,7.83582089552239,8.46932774140694
2021-04-11,5.43478260869565,8.3630959822695
2021-04-10,9.23076923076923,8.31309071855753
2021-04-09,9.35251798561151,8.49440939987621
2021-04-08,8.69565217391304,8.75408008278278
2021-04-07,12,8.78168532777932
2021-04-06,6.73575129533679,8.09211329643514
2021-04-05,7.09219858156028,8.9059248874488
2021-04-04,5.08474576271187,8.79071284518509
2021-04-03,10.5,9.97890085846484
2021-04-02,11.1702127659574,9.88983560273292
2021-04-01,8.88888888888889,9.77388602717496
2021-03-31,7.17299578059072,10.273376343179
2021-03-30,12.4324324324324,10.4785585921202
2021-03-29,6.28571428571429,9.97233808589969
2021-03-28,13.4020618556701,10.2096674547333
2021-03-27,9.87654320987654,11.1522300467804
2021-03-26,10.3585657370518,11.2404134682972
2021-03-25,12.3853211009174,10.6484311152236
2021-03-24,8.60927152317881,10.0758085794905
2021-03-23,8.88888888888889,9.78721940286802
2021-03-22,7.94701986754967,9.3992123481943
2021-03-21,20,9.79453604058516
2021-03-20,10.4938271604938,6.93739318344231
2021-03-19,6.21468926553672,6.33917591855838
2021-03-18,8.37696335078534,6.17552379833358
2021-03-17,6.58914728682171,6.17837854320503
2021-03-16,6.17283950617284,5.68350035937336
2021-03-15,10.7142857142857,5.49853025570406
2021-03-14,0,4.4382295922288
2021-03-13,6.30630630630631,5.21342339067841
2021-03-12,5.06912442396313,4.9133235578683
2021-03-11,8.3969465648855,4.26059149730214
2021-03-10,3.125,4.29912294041373
2021-03-09,4.8780487804878,4.29129086021323
2021-03-08,3.29218106995885,3.80047070475893
2021-03-07,5.42635658914729,4.30017676002054
2021-03-06,4.20560747663551,4.18287769841303
2021-03-05,0.5,4.05156019839736
2021-03-04,8.66666666666667,4.69441734125451
2021-03-03,3.07017543859649,4.01290837403125
2021-03-02,1.44230769230769,4.50598890143672
2021-03-01,6.79012345679012,4.91659448290561
2021-02-28,4.60526315789474,4.96244986209432
2021-02-27,3.28638497652582,5.35497529331945
2021-02-26,5,5.46204521659603
2021-02-25,3.8961038961039,5.238256130146
2021-02-24,6.52173913043478,5.43051778554129
2021-02-23,4.31654676258993,4.77785862405061
2021-02-22,7.11111111111111,5.32116024648892
2021-02-21,7.35294117647059,5.21231670907396
2021-02-20,4.03587443946188,5.124978402965
2021-02-19,3.43347639484979,5.78219114537953
2021-02-18,5.24193548387097,6.37806062292136
2021-02-17,1.953125,6.60235399677086
2021-02-16,8.11965811965812,7.5367944959435
2021-02-15,6.34920634920635,7.71612905027805
2021-02-14,6.74157303370786,7.91573941085421
2021-02-13,8.63636363636364,8.70192868592218
2021-02-12,7.60456273764259,8.43016341415691
2021-02-11,6.81198910081744,8.97645037000389
2021-02-10,8.49420849420849,9.17153336895253
2021-02-09,9.375,8.56084776730852
2021-02-08,7.74647887323944,8.34938160189499
2021-02-07,12.2448979591837,7.76357509619411
2021-02-06,6.73400673400673,7.06846608203229
2021-02-05,11.4285714285714,7.05884607241228
2021-02-04,8.17757009345794,5.89203152050456
2021-02-03,4.21940928270042,5.31290884146859
2021-02-02,7.89473684210526,5.66528558845823
2021-02-01,3.64583333333333,5.60646506776875
2021-01-31,7.37913486005089,6.69949903867929
2021-01-30,6.66666666666667,7.05902739200536
2021-01-29,3.26086956521739,7.42307744888818
2021-01-28,4.12371134020619,8.3760256323307
2021-01-27,6.68604651162791,8.88582511120235
2021-01-26,7.48299319727891,9.04826550264132
2021-01-25,11.2970711297071,8.93164742683957
2021-01-24,9.89583333333333,8.54930721619175
2021-01-23,9.21501706484642,7.64582082163393
2021-01-22,9.93150684931507,7.59158143600756
2021-01-21,7.69230769230769,7.3834484962749
2021-01-20,7.82312925170068,7.34481525451666
2021-01-19,6.66666666666667,7.08559446012901
2021-01-18,8.62068965517241,7.4508279321586
2021-01-17,3.57142857142857,7.09393640707566
2021-01-16,8.83534136546185,7.89836860940444
2021-01-15,8.47457627118644,7.62139866064388
2021-01-14,7.421875,7.82583924723989
2021-01-13,6.00858369098712,7.90842853295418
2021-01-12,9.22330097087379,8.07863086281316
2021-01-11,6.12244897959184,8.6243704756697
2021-01-10,9.20245398773006,8.56394660219729
2021-01-09,6.89655172413793,8.89478526214011
2021-01-08,9.90566037735849,8.30274838411779
2021-01-07,8,7.63721312738756
2021-01-06,7.2,7.62676016571509
2021-01-05,13.0434782608696,7.58503084240682
2021-01-04,5.69948186528497,6.62512118684499
2021-01-03,11.5183246073298,6.72000040089519
2021-01-02,2.75229357798165,6.49663276145117
2021-01-01,5.24691358024691,6.36799822914691
2020-12-31,7.92682926829268,6.47558200339735
2020-12-30,6.90789473684211,6.08050501115278
2020-12-29,6.32411067193676,5.36944889596132
2020-12-28,6.36363636363636,5.5975462398572
2020-12-27,9.95475113122172,5.48210612441709
2020-12-26,1.85185185185185,4.99933345792162
2020-12-25,6,5.16550824721198
2020-12-24,5.16129032258065,4.8797939614977
2020-12-23,1.93050193050193,5.01281491181331
2020-12-22,7.92079207920792,5.51766904664403
2020-12-21,5.55555555555556,5.75599033474152
2020-12-20,6.57534246575342,5.88670928898989
2020-12-19,3.01507537688442,5.95341086832894
2020-12-18,4,6.39509584720368
2020-12-17,6.09243697478992,7.30661339539943
2020-12-16,5.46448087431694,7.80114241719923
2020-12-15,9.58904109589041,8.08660037332027
2020-12-14,6.47058823529412,7.72514072096618
2020-12-13,7.04225352112676,7.98366451264845
