"Date","0 - 9","10 - 19","20 - 29","30 - 39","40 - 49","50 - 59","60 - 69","70 - 79","80+"
2021-03-29,12.9140569509912,71.0273132304514,135.597597985407,71.0273132304514,35.5136566152257,25.8281139019823,6.45702847549558,0,0
2021-03-28,22.5995996642345,83.9413701814425,151.740169174146,83.9413701814425,35.5136566152257,25.8281139019823,9.68554271324337,0,0
2021-03-27,19.3710854264867,71.0273132304514,148.511654936398,67.7987989927036,29.0566281397301,32.2851423774779,12.9140569509912,0,0
2021-03-26,19.3710854264867,80.7128559436947,151.740169174146,61.341770517208,35.5136566152257,25.8281139019823,12.9140569509912,0,0
2021-03-25,19.3710854264867,93.6269128946859,158.197197649642,61.341770517208,32.2851423774779,35.5136566152257,16.1425711887389,0,0
2021-03-24,16.1425711887389,80.7128559436947,164.654226125137,64.5702847549558,29.0566281397301,35.5136566152257,22.5995996642345,0,0
2021-03-23,16.1425711887389,67.7987989927036,164.654226125137,67.7987989927036,25.8281139019823,29.0566281397301,19.3710854264867,0,0
2021-03-22,16.1425711887389,64.5702847549558,193.710854264867,77.4843417059469,41.9706850907213,29.0566281397301,22.5995996642345,0,0
2021-03-21,6.45702847549558,48.4277135662168,174.339768838381,71.0273132304514,35.5136566152257,25.8281139019823,19.3710854264867,0,0
2021-03-20,9.68554271324337,45.199199328469,187.253825789372,80.7128559436947,38.7421708529735,29.0566281397301,16.1425711887389,0,0
2021-03-19,6.45702847549558,35.5136566152257,171.111254600633,87.1698844191903,25.8281139019823,25.8281139019823,12.9140569509912,0,0
2021-03-18,3.22851423774779,19.3710854264867,158.197197649642,90.3983986569381,19.3710854264867,16.1425711887389,12.9140569509912,0,0
2021-03-17,3.22851423774779,22.5995996642345,145.28314069865,96.8554271324337,19.3710854264867,22.5995996642345,6.45702847549558,0,0
2021-03-16,3.22851423774779,16.1425711887389,142.054626460903,100.083941370181,22.5995996642345,25.8281139019823,6.45702847549558,0,0
2021-03-15,3.22851423774779,19.3710854264867,100.083941370181,96.8554271324337,9.68554271324337,25.8281139019823,3.22851423774779,0,0
2021-03-14,3.22851423774779,19.3710854264867,96.8554271324337,90.3983986569381,9.68554271324337,25.8281139019823,3.22851423774779,0,0
2021-03-13,0,32.2851423774779,87.1698844191903,83.9413701814425,9.68554271324337,19.3710854264867,3.22851423774779,0,0
2021-03-12,0,35.5136566152257,90.3983986569381,71.0273132304514,12.9140569509912,22.5995996642345,3.22851423774779,0,0
2021-03-11,0,32.2851423774779,77.4843417059469,54.8847420417124,19.3710854264867,22.5995996642345,0,0,0
2021-03-10,0,29.0566281397301,74.2558274681991,48.4277135662168,25.8281139019823,19.3710854264867,0,0,0
2021-03-09,3.22851423774779,29.0566281397301,58.1132562794602,38.7421708529735,25.8281139019823,12.9140569509912,0,0,0
2021-03-08,3.22851423774779,22.5995996642345,74.2558274681991,38.7421708529735,25.8281139019823,16.1425711887389,0,0,0
2021-03-07,3.22851423774779,25.8281139019823,74.2558274681991,45.199199328469,29.0566281397301,22.5995996642345,0,0,0
2021-03-06,6.45702847549558,12.9140569509912,61.341770517208,48.4277135662168,32.2851423774779,19.3710854264867,6.45702847549558,0,0
2021-03-05,6.45702847549558,9.68554271324337,41.9706850907213,51.6562278039646,29.0566281397301,12.9140569509912,6.45702847549558,0,0
2021-03-04,12.9140569509912,12.9140569509912,38.7421708529735,61.341770517208,29.0566281397301,16.1425711887389,6.45702847549558,0,0
2021-03-03,22.5995996642345,12.9140569509912,35.5136566152257,51.6562278039646,22.5995996642345,12.9140569509912,6.45702847549558,0,0
2021-03-02,19.3710854264867,12.9140569509912,32.2851423774779,51.6562278039646,22.5995996642345,12.9140569509912,9.68554271324337,0,0
2021-03-01,19.3710854264867,19.3710854264867,22.5995996642345,54.8847420417124,25.8281139019823,12.9140569509912,12.9140569509912,0,0
2021-02-28,19.3710854264867,22.5995996642345,29.0566281397301,51.6562278039646,22.5995996642345,9.68554271324337,12.9140569509912,0,0
2021-02-27,19.3710854264867,25.8281139019823,29.0566281397301,51.6562278039646,22.5995996642345,9.68554271324337,6.45702847549558,0,0
2021-02-26,19.3710854264867,35.5136566152257,41.9706850907213,48.4277135662168,29.0566281397301,12.9140569509912,9.68554271324337,0,0
2021-02-25,12.9140569509912,35.5136566152257,41.9706850907213,32.2851423774779,25.8281139019823,16.1425711887389,9.68554271324337,0,0
2021-02-24,3.22851423774779,35.5136566152257,58.1132562794602,32.2851423774779,29.0566281397301,25.8281139019823,16.1425711887389,0,0
2021-02-23,3.22851423774779,38.7421708529735,61.341770517208,35.5136566152257,29.0566281397301,25.8281139019823,19.3710854264867,0,0
2021-02-22,6.45702847549558,32.2851423774779,77.4843417059469,41.9706850907213,25.8281139019823,25.8281139019823,19.3710854264867,0,0
2021-02-21,6.45702847549558,29.0566281397301,71.0273132304514,41.9706850907213,29.0566281397301,22.5995996642345,22.5995996642345,0,0
