"Date","0 - 9","10 - 19","20 - 29","30 - 39","40 - 49","50 - 59","60 - 69","70 - 79","80+"
2020-03-25,6.45702847549558,3.22851423774779,22.5995996642345,35.5136566152257,22.5995996642345,29.0566281397301,12.9140569509912,12.9140569509912,0
2020-03-26,6.45702847549558,3.22851423774779,25.8281139019823,45.199199328469,25.8281139019823,29.0566281397301,12.9140569509912,12.9140569509912,0
2020-03-27,6.45702847549558,3.22851423774779,25.8281139019823,45.199199328469,25.8281139019823,29.0566281397301,9.68554271324337,12.9140569509912,0
2020-03-28,6.45702847549558,3.22851423774779,25.8281139019823,51.6562278039646,32.2851423774779,32.2851423774779,9.68554271324337,12.9140569509912,0
2020-03-29,6.45702847549558,3.22851423774779,25.8281139019823,51.6562278039646,32.2851423774779,32.2851423774779,12.9140569509912,12.9140569509912,0
2020-03-30,6.45702847549558,3.22851423774779,25.8281139019823,51.6562278039646,32.2851423774779,32.2851423774779,12.9140569509912,12.9140569509912,0
2020-03-31,6.45702847549558,3.22851423774779,29.0566281397301,51.6562278039646,35.5136566152257,22.5995996642345,12.9140569509912,12.9140569509912,0
2020-04-01,6.45702847549558,3.22851423774779,22.5995996642345,51.6562278039646,32.2851423774779,22.5995996642345,12.9140569509912,12.9140569509912,0
2020-04-02,6.45702847549558,3.22851423774779,25.8281139019823,51.6562278039646,25.8281139019823,22.5995996642345,12.9140569509912,9.68554271324337,0
2020-04-03,6.45702847549558,3.22851423774779,22.5995996642345,51.6562278039646,25.8281139019823,16.1425711887389,12.9140569509912,6.45702847549558,0
2020-04-04,3.22851423774779,6.45702847549558,22.5995996642345,45.199199328469,25.8281139019823,16.1425711887389,6.45702847549558,6.45702847549558,3.22851423774779
2020-04-05,0,6.45702847549558,22.5995996642345,45.199199328469,25.8281139019823,16.1425711887389,6.45702847549558,6.45702847549558,3.22851423774779
2020-04-06,0,6.45702847549558,29.0566281397301,38.7421708529735,25.8281139019823,16.1425711887389,3.22851423774779,6.45702847549558,3.22851423774779
2020-04-07,0,3.22851423774779,25.8281139019823,32.2851423774779,22.5995996642345,12.9140569509912,3.22851423774779,3.22851423774779,3.22851423774779
2020-04-08,0,3.22851423774779,25.8281139019823,29.0566281397301,22.5995996642345,12.9140569509912,3.22851423774779,0,3.22851423774779
2020-04-09,0,3.22851423774779,22.5995996642345,19.3710854264867,22.5995996642345,12.9140569509912,3.22851423774779,0,3.22851423774779
2020-04-10,0,3.22851423774779,32.2851423774779,22.5995996642345,25.8281139019823,19.3710854264867,3.22851423774779,0,3.22851423774779
2020-04-11,0,3.22851423774779,29.0566281397301,16.1425711887389,19.3710854264867,16.1425711887389,3.22851423774779,0,3.22851423774779
2020-04-12,0,3.22851423774779,35.5136566152257,16.1425711887389,22.5995996642345,22.5995996642345,0,0,3.22851423774779
2020-04-13,0,3.22851423774779,32.2851423774779,19.3710854264867,22.5995996642345,22.5995996642345,0,0,3.22851423774779
2020-04-14,0,9.68554271324337,51.6562278039646,29.0566281397301,22.5995996642345,25.8281139019823,0,0,3.22851423774779
2020-04-15,0,9.68554271324337,58.1132562794602,29.0566281397301,25.8281139019823,25.8281139019823,0,0,3.22851423774779
2020-04-16,0,9.68554271324337,54.8847420417124,38.7421708529735,32.2851423774779,32.2851423774779,0,0,3.22851423774779
2020-04-17,0,12.9140569509912,58.1132562794602,32.2851423774779,29.0566281397301,32.2851423774779,0,0,3.22851423774779
2020-04-18,0,9.68554271324337,67.7987989927036,29.0566281397301,32.2851423774779,29.0566281397301,0,0,0
2020-04-19,0,9.68554271324337,74.2558274681991,41.9706850907213,35.5136566152257,29.0566281397301,0,0,0
2020-04-20,0,9.68554271324337,67.7987989927036,41.9706850907213,35.5136566152257,29.0566281397301,0,0,0
2020-04-21,0,9.68554271324337,74.2558274681991,45.199199328469,35.5136566152257,35.5136566152257,0,0,0
2020-04-22,0,9.68554271324337,77.4843417059469,51.6562278039646,38.7421708529735,35.5136566152257,0,0,0
2020-04-23,0,9.68554271324337,77.4843417059469,51.6562278039646,35.5136566152257,35.5136566152257,0,0,0
2020-04-24,0,9.68554271324337,67.7987989927036,48.4277135662168,29.0566281397301,29.0566281397301,3.22851423774779,0,0
2020-04-25,0,9.68554271324337,71.0273132304514,51.6562278039646,35.5136566152257,29.0566281397301,6.45702847549558,3.22851423774779,0
2020-04-26,0,9.68554271324337,64.5702847549558,54.8847420417124,35.5136566152257,22.5995996642345,9.68554271324337,3.22851423774779,0
2020-04-27,0,9.68554271324337,67.7987989927036,51.6562278039646,38.7421708529735,25.8281139019823,12.9140569509912,3.22851423774779,0
2020-04-28,0,3.22851423774779,48.4277135662168,41.9706850907213,35.5136566152257,22.5995996642345,12.9140569509912,3.22851423774779,0
2020-04-29,0,3.22851423774779,48.4277135662168,41.9706850907213,32.2851423774779,25.8281139019823,12.9140569509912,3.22851423774779,0
2020-04-30,3.22851423774779,3.22851423774779,48.4277135662168,32.2851423774779,25.8281139019823,19.3710854264867,12.9140569509912,3.22851423774779,0
