"Date","12-15","16-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"12/24/2020",0,0,0,0,0,0,0,0,0
"12/26/2020",0,0,0,0.0317662007623888,0,0,0,0,0
"12/27/2020",0,0,0,0.0317662007623888,0,0,0,0,0
"12/28/2020",0,0,0,0.0317662007623888,0,0,0,0,0
"12/29/2020",0,0,0,0.0317662007623888,0,0,0,0.0465332712889716,0
"12/30/2020",0,0,0,0.0317662007623888,0,0,0,0.0465332712889716,0
"12/31/2020",0,0,0,0.0317662007623888,0.026525198938992,0,0,0.0465332712889716,0
"01/01/2021",0,0,0,0.0317662007623888,0.026525198938992,0,0,0.0465332712889716,0
"01/02/2021",0,0,0,0.0317662007623888,0.026525198938992,0,0,0.0465332712889716,0
"01/03/2021",0,0,0,0.0317662007623888,0.026525198938992,0,0,0.0465332712889716,0
"01/04/2021",0,0.105263157894737,0,0.0317662007623888,0.0530503978779841,0,0,0.0465332712889716,0
"01/05/2021",0,0.105263157894737,0.015470297029703,0.0476493011435832,0.0530503978779841,0,0,0.0465332712889716,0
"01/06/2021",0,0.105263157894737,0.0618811881188119,0.190597204574333,0.318302387267904,0.0282645562464669,0,0.139599813866915,0
"01/07/2021",0,0.105263157894737,0.232054455445545,0.778271918678526,1.03448275862069,0.508762012436405,0.1806684733514,0.186133085155886,0
"01/08/2021",0,0.105263157894737,0.525990099009901,1.49301143583227,1.75066312997347,1.13058224985868,0.481782595603734,0.325732899022801,0.175438596491228
"01/09/2021",0,0.105263157894737,0.525990099009901,1.50889453621347,1.80371352785146,1.13058224985868,0.481782595603734,0.418799441600745,0.175438596491228
"01/10/2021",0,0.105263157894737,0.541460396039604,1.50889453621347,1.80371352785146,1.18711136235161,0.481782595603734,0.418799441600745,0.175438596491228
"01/11/2021",0,0.105263157894737,0.57240099009901,1.55654383735705,1.80371352785146,1.21537591859808,0.481782595603734,0.418799441600745,0.175438596491228
"01/12/2021",0,0.105263157894737,0.57240099009901,1.58831003811944,1.83023872679045,1.21537591859808,0.511894007828967,0.465332712889716,0.175438596491228
"01/13/2021",0,0.105263157894737,0.57240099009901,1.60419313850064,1.85676392572944,1.21537591859808,0.511894007828967,0.465332712889716,0.175438596491228
"01/14/2021",0,0.105263157894737,0.57240099009901,1.60419313850064,1.85676392572944,1.24364047484454,0.511894007828967,0.511865984178688,0.350877192982456
"01/15/2021",0,0.105263157894737,0.57240099009901,1.60419313850064,1.88328912466844,1.24364047484454,0.572116832279434,0.511865984178688,0.350877192982456
"01/16/2021",0,0.105263157894737,0.57240099009901,1.63595933926302,1.88328912466844,1.24364047484454,0.572116832279434,0.511865984178688,0.350877192982456
"01/17/2021",0,0.105263157894737,0.57240099009901,1.63595933926302,1.88328912466844,1.24364047484454,0.572116832279434,0.511865984178688,0.350877192982456
"01/18/2021",0,0.105263157894737,0.587871287128713,1.65184243964422,1.88328912466844,1.24364047484454,0.572116832279434,0.511865984178688,0.350877192982456
"01/19/2021",0,0.105263157894737,0.587871287128713,1.65184243964422,1.93633952254642,1.27190503109101,0.572116832279434,0.511865984178688,0.87719298245614
"01/20/2021",0,0.105263157894737,0.804455445544555,2.20775095298602,2.59946949602122,2.00678349349915,0.993676603432701,0.558399255467659,1.05263157894737
"01/21/2021",0,0.105263157894737,0.897277227722772,2.38246505717916,2.81167108753316,2.17637083097795,1.0840108401084,0.791065611912518,1.05263157894737
"01/22/2021",0,0.105263157894737,0.99009900990099,2.52541296060991,3.02387267904509,2.40248728094969,1.2646793134598,0.930665425779432,1.2280701754386
"01/23/2021",0,0.105263157894737,1.34591584158416,3.35133418043202,4.80106100795756,3.61786319954777,1.77657332128877,1.25639832480223,1.2280701754386
"01/24/2021",0,0.105263157894737,1.88737623762376,4.47903430749682,5.9946949602122,5.00282645562465,2.19813309244204,2.04746393671475,1.75438596491228
"01/25/2021",0,0.105263157894737,2.0730198019802,4.63786531130877,6.18037135278515,5.08762012436405,2.2583559168925,2.09399720800372,2.10526315789474
"01/26/2021",0,0.105263157894737,2.11943069306931,4.68551461245235,6.18037135278515,5.11588468061051,2.2583559168925,2.18706375058167,2.10526315789474
"01/27/2021",0,0.105263157894737,2.32054455445545,4.86022871664549,6.49867374005305,5.31373657433578,2.3486901535682,2.51279664960447,3.15789473684211
"01/28/2021",0,0.105263157894737,2.84653465346535,5.24142312579415,7.24137931034483,5.73770491803279,2.67991568804577,10.9353187529083,16.6666666666667
"01/29/2021",0,0.210526315789474,2.97029702970297,5.41613722998729,7.42705570291777,5.82249858677219,2.74013851249624,12.1917170777106,18.2456140350877
"01/30/2021",0,0.210526315789474,3.04764851485149,5.57496823379924,7.50663129973475,5.85076314301865,2.77024992472147,16.2401116798511,22.6315789473684
"01/31/2021",0,0.210526315789474,3.04764851485149,5.57496823379924,7.50663129973475,5.85076314301865,2.8003613369467,19.1717077710563,24.5614035087719
"02/01/2021",0,0.210526315789474,3.04764851485149,5.57496823379924,7.50663129973475,5.85076314301865,2.8003613369467,19.3113075849232,24.9122807017544
"02/02/2021",0,0.210526315789474,3.06311881188119,5.59085133418043,7.53315649867374,5.87902769926512,2.8003613369467,19.4043741275012,24.9122807017544
"02/03/2021",0,0.210526315789474,3.35705445544554,5.98792884371029,8.0106100795756,6.55737704918033,4.00481782595604,28.8040949278734,31.7543859649123
"02/04/2021",0,0.210526315789474,3.37252475247525,6.05146124523507,8.11671087533156,6.58564160542679,4.18548629930744,30.7584923220102,33.1578947368421
"02/05/2021",0,0.210526315789474,3.52722772277228,6.19440914866582,8.43501326259947,6.81175805539853,4.9683830171635,48.8134015821312,39.1228070175439
"02/06/2021",0,0.210526315789474,3.6355198019802,6.33735705209657,8.64721485411141,7.12266817410967,5.84161397169527,52.9548627268497,40.8771929824561
"02/07/2021",0,0.210526315789474,3.6509900990099,6.49618805590851,8.6737400530504,7.263990955342,5.96205962059621,54.5835272219637,41.4035087719298
"02/08/2021",0,0.210526315789474,3.71287128712871,6.57560355781449,8.83289124668435,7.49010740531374,5.96205962059621,56.7705909725454,41.9298245614035
"02/09/2021",0,0.210526315789474,3.75928217821782,6.60736975857687,8.93899204244032,7.54663651780667,6.08250526949714,58.0269892973476,43.1578947368421
"02/10/2021",0,0.210526315789474,3.83663366336634,6.76620076238882,8.93899204244032,7.65969474279254,6.17283950617284,59.1903210795719,43.3333333333333
"02/11/2021",0,0.210526315789474,3.83663366336634,6.79796696315121,8.9920424403183,7.65969474279254,6.32339656729901,59.9813866914844,43.5087719298246
"02/12/2021",0,0.210526315789474,3.85210396039604,6.84561626429479,9.12466843501326,7.74448841153194,6.56428786510087,60.7724523033969,43.6842105263158
"02/13/2021",0,0.210526315789474,3.89851485148515,6.94091486658196,9.20424403183024,7.94234030525721,6.98584763625414,61.8427175430433,45.2631578947368
"02/14/2021",0,0.210526315789474,3.91398514851485,6.94091486658196,9.20424403183024,8.02713397399661,7.07618187292984,62.308050255933,45.4385964912281
"02/15/2021",0,0.210526315789474,3.91398514851485,6.95679796696315,9.28381962864722,8.08366308648954,7.07618187292984,62.4476500697999,45.4385964912281
"02/16/2021",0,0.210526315789474,3.94492574257426,6.95679796696315,9.36339522546419,8.11192764273601,7.16651610960554,62.6337831549558,45.6140350877193
"02/17/2021",0,0.315789473684211,4.00680693069307,7.06797966963151,9.54907161803714,8.28151498021481,7.25685034628124,62.7733829688227,45.7894736842105
"02/18/2021",0,0.315789473684211,4.02227722772277,7.08386277001271,9.62864721485411,8.30977953646128,7.31707317073171,62.9129827826896,46.4912280701754
"02/19/2021",0,0.315789473684211,4.08415841584158,7.14739517153748,9.6551724137931,8.39457320520068,7.58807588075881,63.1456491391345,46.8421052631579
"02/20/2021",0,0.315789473684211,4.1615099009901,7.14739517153748,9.76127320954907,8.56416054267948,8.00963565191207,63.4713820381573,46.8421052631579
"02/21/2021",0,0.421052631578947,4.1615099009901,7.21092757306226,9.94694960212202,8.64895421141888,8.16019271303824,63.7040483946021,46.8421052631579
"02/22/2021",0,0.421052631578947,4.1615099009901,7.22681067344346,10,8.73374788015828,8.25052694971394,63.936714751047,47.0175438596491
"02/23/2021",0,0.421052631578947,4.1769801980198,7.25857687420585,10.026525198939,8.73374788015828,8.28063836193918,64.0763145649139,47.0175438596491
"02/24/2021",0,0.421052631578947,4.22339108910891,7.3856416772554,10.1856763925729,9.01639344262295,8.94308943089431,64.3089809213588,47.0175438596491
"02/25/2021",0,0.421052631578947,4.22339108910891,7.40152477763659,10.2122015915119,9.04465799886942,9.12375790424571,64.5416472778036,47.0175438596491
"02/26/2021",0,0.631578947368421,4.40903465346535,7.60800508259212,10.5305039787798,9.52515545505936,10.3583258054803,66.0307119590507,48.0701754385965
"02/27/2021",0,0.631578947368421,4.40903465346535,7.62388818297332,10.6366047745358,9.63821368004522,10.6895513399578,66.2633783154956,48.0701754385965
"02/28/2021",0,0.736842105263158,4.40903465346535,7.63977128335451,10.6896551724138,9.66647823629169,10.7497741644083,66.4495114006515,48.2456140350877
"03/01/2021",0,0.736842105263158,4.42450495049505,7.68742058449809,10.7161803713528,9.69474279253816,10.840108401084,66.6356444858073,48.7719298245614
"03/02/2021",0,0.736842105263158,4.43997524752475,7.71918678526048,10.7427055702918,9.77953646127756,11.0508882866606,66.9148441135412,49.1228070175439
"03/03/2021",0,0.736842105263158,4.45544554455446,7.83036848792884,10.7692307692308,9.77953646127756,11.231556760012,67.240577012564,49.1228070175439
"03/04/2021",0,0.736842105263158,4.47091584158416,7.87801778907243,10.9283819628647,9.89259468626343,11.4122252333634,67.287110283853,49.4736842105263
"03/05/2021",0,0.736842105263158,4.84220297029703,8.8151207115629,12.5994694960212,15.6868287167891,26.6184884071063,68.3108422522103,49.6491228070175
"03/06/2021",0,0.736842105263158,4.93502475247525,8.92630241423126,12.8116710875332,16.0260033917467,28.0337247816923,68.3573755234993,49.6491228070175
"03/07/2021",0,0.736842105263158,4.93502475247525,8.98983481575604,12.8912466843501,16.1390616167326,28.4251731406203,68.3573755234993,49.6491228070175
