"Date","Hispanic/Latinx","Other","Unknown","White"
2021-03-15,32.2851423774779,3.22851423774779,19.3710854264867,203.396396978111
2021-03-14,29.0566281397301,3.22851423774779,19.3710854264867,196.939368502615
2021-03-13,16.1425711887389,3.22851423774779,19.3710854264867,196.939368502615
2021-03-12,16.1425711887389,3.22851423774779,22.5995996642345,193.710854264867
2021-03-11,16.1425711887389,3.22851423774779,22.5995996642345,164.654226125137
2021-03-10,12.9140569509912,3.22851423774779,25.8281139019823,154.968683411894
2021-03-09,6.45702847549558,3.22851423774779,19.3710854264867,138.826112223155
2021-03-08,9.68554271324337,0,12.9140569509912,158.197197649642
2021-03-07,9.68554271324337,0,16.1425711887389,174.339768838381
2021-03-06,12.9140569509912,0,16.1425711887389,158.197197649642
2021-03-05,9.68554271324337,0,16.1425711887389,132.369083747659
2021-03-04,22.5995996642345,0,12.9140569509912,142.054626460903
2021-03-03,32.2851423774779,0,9.68554271324337,122.683541034416
2021-03-02,32.2851423774779,3.22851423774779,9.68554271324337,116.22651255892
2021-03-01,25.8281139019823,12.9140569509912,12.9140569509912,116.22651255892
2021-02-28,32.2851423774779,12.9140569509912,9.68554271324337,112.997998321173
2021-02-27,35.5136566152257,16.1425711887389,6.45702847549558,106.540969845677
2021-02-26,51.6562278039646,16.1425711887389,3.22851423774779,125.912055272164
2021-02-25,38.7421708529735,19.3710854264867,6.45702847549558,109.769484083425
2021-02-24,32.2851423774779,25.8281139019823,12.9140569509912,129.140569509912
2021-02-23,32.2851423774779,22.5995996642345,16.1425711887389,142.054626460903
2021-02-22,41.9706850907213,16.1425711887389,22.5995996642345,148.511654936398
2021-02-21,38.7421708529735,16.1425711887389,22.5995996642345,145.28314069865
2021-02-20,35.5136566152257,16.1425711887389,22.5995996642345,164.654226125137
2021-02-19,25.8281139019823,19.3710854264867,25.8281139019823,151.740169174146
2021-02-18,32.2851423774779,19.3710854264867,29.0566281397301,161.425711887389
2021-02-17,38.7421708529735,12.9140569509912,25.8281139019823,135.597597985407
2021-02-16,54.8847420417124,12.9140569509912,22.5995996642345,148.511654936398
2021-02-15,48.4277135662168,9.68554271324337,12.9140569509912,132.369083747659
2021-02-14,48.4277135662168,12.9140569509912,12.9140569509912,138.826112223155
2021-02-13,58.1132562794602,12.9140569509912,12.9140569509912,132.369083747659
2021-02-12,64.5702847549558,16.1425711887389,19.3710854264867,158.197197649642
2021-02-11,83.9413701814425,16.1425711887389,12.9140569509912,184.025311551624
2021-02-10,90.3983986569381,25.8281139019823,12.9140569509912,219.53896816685
2021-02-09,80.7128559436947,25.8281139019823,25.8281139019823,219.53896816685
2021-02-08,83.9413701814425,25.8281139019823,25.8281139019823,229.224510880093
2021-02-07,83.9413701814425,22.5995996642345,29.0566281397301,261.509653257571
