"Date","0 - 9 years","10 - 19 years","20 - 29 years","30 - 39 years","40 - 49 years","50 - 59 years","60 - 69 years","70 - 79 years","80+ years"
2020-03-23,0,0,0,0,3.22851423774779,6.45702847549558,6.45702847549558,3.22851423774779,3.22851423774779
2020-04-06,6.45702847549558,3.22851423774779,22.5995996642345,32.2851423774779,25.8281139019823,32.2851423774779,12.9140569509912,9.68554271324337,0
2020-04-20,0,3.22851423774779,25.8281139019823,32.2851423774779,22.5995996642345,12.9140569509912,3.22851423774779,3.22851423774779,3.22851423774779
2020-05-04,0,9.68554271324337,74.2558274681991,45.199199328469,35.5136566152257,35.5136566152257,0,0,0
2020-05-18,6.45702847549558,3.22851423774779,41.9706850907213,25.8281139019823,25.8281139019823,16.1425711887389,12.9140569509912,3.22851423774779,0
2020-06-01,6.45702847549558,22.5995996642345,51.6562278039646,16.1425711887389,19.3710854264867,19.3710854264867,0,0,0
2020-06-15,6.45702847549558,3.22851423774779,29.0566281397301,22.5995996642345,6.45702847549558,12.9140569509912,3.22851423774779,0,0
2020-06-29,3.22851423774779,0,9.68554271324337,3.22851423774779,6.45702847549558,6.45702847549558,3.22851423774779,3.22851423774779,0
2020-07-13,3.22851423774779,0,48.4277135662168,25.8281139019823,12.9140569509912,12.9140569509912,0,0,0
2020-07-27,0,3.22851423774779,32.2851423774779,12.9140569509912,6.45702847549558,6.45702847549558,3.22851423774779,0,3.22851423774779
2020-08-10,0,0,22.5995996642345,16.1425711887389,6.45702847549558,9.68554271324337,3.22851423774779,0,0
2020-08-24,3.22851423774779,0,16.1425711887389,12.9140569509912,9.68554271324337,9.68554271324337,16.1425711887389,3.22851423774779,3.22851423774779
2020-09-07,0,0,6.45702847549558,6.45702847549558,0,0,0,3.22851423774779,0
2020-09-21,74.2558274681991,19.3710854264867,19.3710854264867,41.9706850907213,9.68554271324337,22.5995996642345,3.22851423774779,9.68554271324337,3.22851423774779
2020-10-05,6.45702847549558,22.5995996642345,61.341770517208,35.5136566152257,25.8281139019823,35.5136566152257,12.9140569509912,0,0
