"Fecha","hispano/latinx","otro","blanco","desconocido"
2021-01-31,9.68554271324337,0,35.5136566152257,45.199199328469
2021-01-30,19.3710854264867,3.22851423774779,48.4277135662168,67.7987989927036
2021-01-29,22.5995996642345,3.22851423774779,51.6562278039646,87.1698844191903
2021-01-28,38.7421708529735,3.22851423774779,58.1132562794602,100.083941370181
2021-01-27,41.9706850907213,3.22851423774779,77.4843417059469,151.740169174146
2021-01-26,64.5702847549558,3.22851423774779,83.9413701814425,187.253825789372
2021-01-25,80.7128559436947,3.22851423774779,93.6269128946859,242.138567831084
2021-01-24,106.540969845677,3.22851423774779,112.997998321173,258.281139019823
2021-01-23,109.769484083425,6.45702847549558,129.140569509912,300.251824110544
2021-01-22,119.455026796668,16.1425711887389,145.28314069865,355.136566152257
2021-01-21,125.912055272164,29.0566281397301,158.197197649642,384.193194291987
2021-01-20,142.054626460903,35.5136566152257,167.882740362885,419.706850907213
2021-01-19,142.054626460903,35.5136566152257,180.796797313876,458.449021760186
2021-01-18,154.968683411894,35.5136566152257,187.253825789372,493.962678375412
2021-01-17,145.28314069865,35.5136566152257,161.425711887389,468.134564473429
2021-01-16,142.054626460903,32.2851423774779,154.968683411894,487.505649899916
2021-01-15,161.425711887389,32.2851423774779,164.654226125137,487.505649899916
2021-01-14,161.425711887389,35.5136566152257,174.339768838381,497.191192613159
2021-01-13,171.111254600633,35.5136566152257,158.197197649642,471.363078711177
2021-01-12,177.568283076128,38.7421708529735,167.882740362885,455.220507522438
2021-01-11,161.425711887389,45.199199328469,164.654226125137,448.763479046943
2021-01-10,158.197197649642,48.4277135662168,151.740169174146,451.99199328469
2021-01-09,171.111254600633,45.199199328469,145.28314069865,429.392393620456
2021-01-08,187.253825789372,38.7421708529735,151.740169174146,435.849422095951
2021-01-07,206.624911215858,29.0566281397301,145.28314069865,451.99199328469
2021-01-06,190.48234002712,22.5995996642345,145.28314069865,448.763479046943
2021-01-05,200.167882740363,22.5995996642345,151.740169174146,416.478336669465
2021-01-04,196.939368502615,22.5995996642345,148.511654936398,393.87873700523
2021-01-03,206.624911215858,29.0566281397301,154.968683411894,400.335765480726
2021-01-02,200.167882740363,29.0566281397301,151.740169174146,364.8221088655
2021-01-01,184.025311551624,32.2851423774779,142.054626460903,380.964680054239
2020-12-31,177.568283076128,29.0566281397301,132.369083747659,368.050623103248
2020-12-30,193.710854264867,29.0566281397301,138.826112223155,361.593594627752
2020-12-29,190.48234002712,32.2851423774779,122.683541034416,358.365080390005
2020-12-28,193.710854264867,25.8281139019823,119.455026796668,319.622909537031
2020-12-27,200.167882740363,22.5995996642345,116.22651255892,306.70885258604
2020-12-26,187.253825789372,22.5995996642345,109.769484083425,293.794795635049
2020-12-25,174.339768838381,19.3710854264867,87.1698844191903,245.367082068832
2020-12-24,167.882740362885,22.5995996642345,87.1698844191903,258.281139019823
2020-12-23,177.568283076128,22.5995996642345,83.9413701814425,229.224510880093
2020-12-22,203.396396978111,22.5995996642345,96.8554271324337,267.966681733066
2020-12-21,216.310453929102,22.5995996642345,106.540969845677,287.337767159553
2020-12-20,229.224510880093,25.8281139019823,96.8554271324337,297.023309872797
2020-12-19,232.453025117841,25.8281139019823,93.6269128946859,300.251824110544
2020-12-18,232.453025117841,32.2851423774779,93.6269128946859,303.480338348292
2020-12-17,261.509653257571,35.5136566152257,96.8554271324337,316.394395299283
2020-12-16,238.910053593336,35.5136566152257,100.083941370181,309.937366823788
2020-12-15,235.681539355589,29.0566281397301,112.997998321173,338.993994963518
2020-12-14,242.138567831084,29.0566281397301,122.683541034416,355.136566152257
2020-12-13,225.995996642345,29.0566281397301,132.369083747659,368.050623103248
2020-12-12,242.138567831084,29.0566281397301,135.597597985407,380.964680054239
2020-12-11,248.59559630658,35.5136566152257,151.740169174146,403.564279718474
2020-12-10,235.681539355589,29.0566281397301,154.968683411894,371.279137340996
2020-12-09,255.052624782075,29.0566281397301,158.197197649642,393.87873700523
2020-12-08,235.681539355589,35.5136566152257,129.140569509912,355.136566152257
2020-12-07,238.910053593336,38.7421708529735,125.912055272164,377.736165816491
2020-12-06,235.681539355589,32.2851423774779,132.369083747659,361.593594627752
2020-12-05,255.052624782075,38.7421708529735,145.28314069865,384.193194291987
2020-12-04,284.109252921805,32.2851423774779,154.968683411894,387.421708529735
2020-12-03,261.509653257571,29.0566281397301,154.968683411894,416.478336669465
2020-12-02,284.109252921805,32.2851423774779,154.968683411894,484.277135662168
2020-12-01,290.566281397301,32.2851423774779,154.968683411894,490.734164137664
2020-11-30,313.165881061536,35.5136566152257,164.654226125137,535.933363466133
2020-11-29,313.165881061536,38.7421708529735,184.025311551624,558.532963130367
2020-11-28,316.394395299283,38.7421708529735,200.167882740363,571.447020081359
2020-11-27,309.937366823788,32.2851423774779,200.167882740363,564.989991605863
2020-11-26,309.937366823788,35.5136566152257,206.624911215858,597.275133983341
2020-11-25,293.794795635049,35.5136566152257,225.995996642345,648.931361787305
2020-11-24,290.566281397301,32.2851423774779,235.681539355589,697.359075353522
2020-11-23,300.251824110544,29.0566281397301,232.453025117841,694.130561115775
2020-11-22,297.023309872797,25.8281139019823,225.995996642345,697.359075353522
2020-11-21,326.079938012527,22.5995996642345,232.453025117841,726.415703493252
2020-11-20,351.908051914509,19.3710854264867,238.910053593336,745.786788919739
2020-11-19,345.451023439013,19.3710854264867,232.453025117841,732.872731968748
2020-11-18,358.365080390005,16.1425711887389,251.824110544328,723.187189255505
2020-11-17,364.8221088655,16.1425711887389,242.138567831084,697.359075353522
