"Date","0 - 9 years","10 - 19 years","20 - 29 years","30 - 39 years","40 - 49 years","50 - 59 years","60 - 69 years","70 - 79 years","80+ years"
2021-03-11,0,32.2851423774779,77.4843417059469,54.8847420417124,19.3710854264867,22.5995996642345,0,0,0
2021-03-12,0,35.5136566152257,90.3983986569381,71.0273132304514,12.9140569509912,22.5995996642345,3.22851423774779,0,0
2021-03-13,0,32.2851423774779,87.1698844191903,83.9413701814425,9.68554271324337,19.3710854264867,3.22851423774779,0,0
2021-03-14,3.22851423774779,19.3710854264867,96.8554271324337,90.3983986569381,9.68554271324337,25.8281139019823,3.22851423774779,0,0
2021-03-15,3.22851423774779,19.3710854264867,100.083941370181,96.8554271324337,9.68554271324337,25.8281139019823,3.22851423774779,0,0
2021-03-16,3.22851423774779,16.1425711887389,142.054626460903,100.083941370181,22.5995996642345,25.8281139019823,6.45702847549558,0,0
2021-03-17,3.22851423774779,22.5995996642345,145.28314069865,96.8554271324337,19.3710854264867,22.5995996642345,6.45702847549558,0,0
2021-03-18,3.22851423774779,19.3710854264867,158.197197649642,90.3983986569381,19.3710854264867,16.1425711887389,12.9140569509912,0,0
2021-03-19,6.45702847549558,35.5136566152257,171.111254600633,87.1698844191903,25.8281139019823,25.8281139019823,12.9140569509912,0,0
2021-03-20,9.68554271324337,45.199199328469,184.025311551624,77.4843417059469,38.7421708529735,29.0566281397301,16.1425711887389,0,0
2021-03-21,6.45702847549558,48.4277135662168,171.111254600633,67.7987989927036,35.5136566152257,25.8281139019823,19.3710854264867,0,0
2021-03-22,16.1425711887389,64.5702847549558,190.48234002712,74.2558274681991,41.9706850907213,29.0566281397301,22.5995996642345,0,0
2021-03-23,16.1425711887389,67.7987989927036,161.425711887389,64.5702847549558,25.8281139019823,29.0566281397301,19.3710854264867,0,0
2021-03-24,16.1425711887389,77.4843417059469,161.425711887389,61.341770517208,29.0566281397301,35.5136566152257,22.5995996642345,0,0
2021-03-25,19.3710854264867,90.3983986569381,154.968683411894,58.1132562794602,32.2851423774779,35.5136566152257,16.1425711887389,0,0
2021-03-26,19.3710854264867,77.4843417059469,151.740169174146,58.1132562794602,35.5136566152257,25.8281139019823,12.9140569509912,0,0
2021-03-27,19.3710854264867,71.0273132304514,151.740169174146,67.7987989927036,29.0566281397301,32.2851423774779,12.9140569509912,0,0
2021-03-28,22.5995996642345,83.9413701814425,154.968683411894,83.9413701814425,35.5136566152257,25.8281139019823,9.68554271324337,0,0
2021-03-29,12.9140569509912,71.0273132304514,142.054626460903,71.0273132304514,35.5136566152257,25.8281139019823,6.45702847549558,0,0
2021-03-30,19.3710854264867,64.5702847549558,148.511654936398,77.4843417059469,45.199199328469,25.8281139019823,6.45702847549558,0,0
2021-03-31,19.3710854264867,54.8847420417124,145.28314069865,71.0273132304514,54.8847420417124,19.3710854264867,3.22851423774779,0,0
2021-04-01,25.8281139019823,51.6562278039646,154.968683411894,67.7987989927036,54.8847420417124,22.5995996642345,3.22851423774779,0,0
2021-04-02,22.5995996642345,51.6562278039646,148.511654936398,51.6562278039646,51.6562278039646,22.5995996642345,3.22851423774779,0,0
2021-04-03,35.5136566152257,54.8847420417124,129.140569509912,41.9706850907213,51.6562278039646,16.1425711887389,0,0,0
2021-04-04,32.2851423774779,45.199199328469,119.455026796668,22.5995996642345,48.4277135662168,19.3710854264867,0,0,0
2021-04-05,32.2851423774779,48.4277135662168,112.997998321173,22.5995996642345,51.6562278039646,16.1425711887389,0,0,0
2021-04-06,25.8281139019823,48.4277135662168,112.997998321173,22.5995996642345,51.6562278039646,19.3710854264867,3.22851423774779,0,0
2021-04-07,25.8281139019823,41.9706850907213,106.540969845677,35.5136566152257,38.7421708529735,16.1425711887389,3.22851423774779,0,0
2021-04-08,19.3710854264867,29.0566281397301,83.9413701814425,29.0566281397301,38.7421708529735,12.9140569509912,3.22851423774779,0,0
2021-04-09,19.3710854264867,32.2851423774779,74.2558274681991,32.2851423774779,35.5136566152257,12.9140569509912,6.45702847549558,0,0
2021-04-10,3.22851423774779,25.8281139019823,77.4843417059469,32.2851423774779,32.2851423774779,6.45702847549558,9.68554271324337,0,0
2021-04-11,3.22851423774779,19.3710854264867,74.2558274681991,41.9706850907213,29.0566281397301,3.22851423774779,9.68554271324337,0,0
2021-04-12,3.22851423774779,16.1425711887389,77.4843417059469,45.199199328469,19.3710854264867,9.68554271324337,9.68554271324337,0,0
2021-04-13,3.22851423774779,12.9140569509912,71.0273132304514,58.1132562794602,12.9140569509912,9.68554271324337,6.45702847549558,0,0
2021-04-14,3.22851423774779,12.9140569509912,54.8847420417124,54.8847420417124,16.1425711887389,12.9140569509912,6.45702847549558,0,0
2021-04-15,0,12.9140569509912,61.341770517208,61.341770517208,12.9140569509912,16.1425711887389,9.68554271324337,0,0
2021-04-16,0,3.22851423774779,54.8847420417124,58.1132562794602,9.68554271324337,16.1425711887389,6.45702847549558,0,0
2021-04-17,0,3.22851423774779,54.8847420417124,61.341770517208,6.45702847549558,19.3710854264867,3.22851423774779,0,0
2021-04-18,0,6.45702847549558,54.8847420417124,58.1132562794602,6.45702847549558,19.3710854264867,3.22851423774779,0,0
2021-04-19,0,6.45702847549558,48.4277135662168,54.8847420417124,9.68554271324337,16.1425711887389,3.22851423774779,0,0
2021-04-20,3.22851423774779,12.9140569509912,32.2851423774779,35.5136566152257,6.45702847549558,16.1425711887389,3.22851423774779,0,0
2021-04-21,3.22851423774779,12.9140569509912,32.2851423774779,32.2851423774779,3.22851423774779,12.9140569509912,3.22851423774779,0,0
2021-04-22,3.22851423774779,12.9140569509912,25.8281139019823,22.5995996642345,3.22851423774779,9.68554271324337,0,0,0
2021-04-23,3.22851423774779,12.9140569509912,22.5995996642345,22.5995996642345,3.22851423774779,9.68554271324337,0,0,0
2021-04-24,3.22851423774779,12.9140569509912,9.68554271324337,19.3710854264867,3.22851423774779,6.45702847549558,0,0,0
2021-04-25,3.22851423774779,9.68554271324337,12.9140569509912,16.1425711887389,3.22851423774779,6.45702847549558,0,0,0
2021-04-26,3.22851423774779,6.45702847549558,16.1425711887389,19.3710854264867,0,3.22851423774779,0,0,0
2021-04-27,0,0,19.3710854264867,32.2851423774779,3.22851423774779,0,0,0,0
2021-04-28,0,0,25.8281139019823,25.8281139019823,3.22851423774779,0,0,0,0
2021-04-29,3.22851423774779,0,29.0566281397301,29.0566281397301,3.22851423774779,0,0,0,0
2021-04-30,3.22851423774779,0,22.5995996642345,25.8281139019823,3.22851423774779,0,0,0,0
2021-05-01,3.22851423774779,0,22.5995996642345,22.5995996642345,3.22851423774779,0,0,0,0
2021-05-02,3.22851423774779,0,16.1425711887389,19.3710854264867,3.22851423774779,0,0,0,0
2021-05-03,3.22851423774779,0,12.9140569509912,16.1425711887389,3.22851423774779,0,0,0,0
2021-05-04,3.22851423774779,0,9.68554271324337,3.22851423774779,0,0,0,0,0
2021-05-05,3.22851423774779,0,3.22851423774779,3.22851423774779,0,0,0,0,0
